legset,wstart,cost,kind,panel,book,gross,cadence,binding,rec_h1,rec_h2,disj_h1,disj_h2,spy_h1,spy_h2
REC5,2013-01-01,5.0,DESTROYED,U56,TOP20,0.65,M,L_H1,1.2337868842488553,1.2150707842094561,1.7010592151946167,0.9731400127157535,1.876828368352639,0.5110070317563842
REC5,2013-01-01,5.0,DESTROYED,U56,TOP20,0.75,W,L_H1,1.1385839051729802,1.1300554559188498,1.7370686683571204,0.9752363100599736,1.876828368352639,0.5110070317563842
REC5,2013-01-01,5.0,DESTROYED,U56,TOP20,0.75,M,L_H1,1.235115232652411,1.215899618322953,1.702669412497897,0.9738615197319602,1.876828368352639,0.5110070317563842
REC5,2013-01-01,5.0,DESTROYED,U56,EWELIG,0.75,W,L_H1,1.1145758236286654,1.0638456669824974,1.8125540270266238,0.7337673108776562,1.876828368352639,0.5110070317563842
REC5,2013-01-01,5.0,DESTROYED,U56,EWELIG,0.75,M,L_H1,1.1629630633004067,1.1531695626287108,1.8373109716949478,0.6964038018044618,1.876828368352639,0.5110070317563842
REC5,2013-01-01,5.0,DESTROYED,U56,BAND03,1.0,M,L_H1,1.2272782206785655,1.143585569632774,1.8412526508620504,0.9249640261351731,1.876828368352639,0.5110070317563842
REC5,2013-01-01,5.0,DESTROYED,B136,TOP10,0.5,M,L_H1,1.3029904849914935,0.9313685739710466,1.6614284332249751,1.3072411938612682,1.877242007425479,0.5110244392782415
REC5,2013-01-01,5.0,DESTROYED,B136,TOP20,0.5,M,L_H1,1.3504366493962832,0.9217970595368246,1.8269097366424876,0.812781877044443,1.877242007425479,0.5110244392782415
REC5,2013-01-01,5.0,DESTROYED,B136,TOP20,0.65,W,L_H1,1.1913058054509402,0.8434221148824419,1.5962827018879373,0.8475155552920234,1.877242007425479,0.5110244392782415
REC5,2013-01-01,5.0,DESTROYED,B136,TOP20,0.75,W,L_H1,1.1922254509542796,0.8441132876100849,1.598029452322582,0.8481472898146887,1.877242007425479,0.5110244392782415
REC5,2013-01-01,10.0,DESTROYED,U56,TOP10,0.5,M,L_H1,1.2116563482722793,1.0556642920027666,1.5129247015217564,1.2962600750630442,1.876828368352639,0.5110070317563842
REC5,2013-01-01,10.0,DESTROYED,U56,TOP20,0.65,W,L_H1,1.0936596428878476,1.0905087532400037,1.6915740785963085,0.9258426628179139,1.876828368352639,0.5110070317563842
REC5,2013-01-01,10.0,DESTROYED,U56,TOP20,0.65,M,L_H1,1.214604736125588,1.1981347590781528,1.681798704007998,0.9532089596320145,1.876828368352639,0.5110070317563842
REC5,2013-01-01,10.0,DESTROYED,U56,TOP20,0.75,W,L_H1,1.0937243021178327,1.090716772740829,1.6927785929806198,0.9253214059717193,1.876828368352639,0.5110070317563842
REC5,2013-01-01,10.0,DESTROYED,U56,TOP20,0.75,M,L_H1,1.215979520254964,1.1990053067866455,1.6834531477838464,0.9539786484237801,1.876828368352639,0.5110070317563842
REC5,2013-01-01,10.0,DESTROYED,U56,EWELIG,0.75,M,L_H1,1.1461605795883643,1.1346675566594313,1.8235248439469156,0.6759483062961099,1.876828368352639,0.5110070317563842
REC5,2013-01-01,10.0,DESTROYED,U56,BAND03,1.0,M,L_H1,1.2190191302185007,1.1354892090423656,1.8338384959676572,0.9146532880094912,1.876828368352639,0.5110070317563842
REC5,2013-01-01,10.0,DESTROYED,B136,TOP10,0.5,M,L_H1,1.2787777833130605,0.909553947846879,1.6350554602532985,1.282568008464963,1.877242007425479,0.5110244392782415
REC5,2013-01-01,10.0,DESTROYED,B136,TOP20,0.5,M,L_H1,1.327596592503283,0.9012854709343682,1.8028445255105212,0.7880319165092878,1.877242007425479,0.5110244392782415
REC5,2013-01-01,25.0,DESTROYED,U56,TOP20,0.65,M,L_H1,1.1568024159156052,1.1471124168297244,1.6236773598085952,0.8932038745275613,1.876828368352639,0.5110070317563842
REC5,2013-01-01,25.0,DESTROYED,U56,TOP20,0.75,W,L_H1,0.9588515505320659,0.9724901142242105,1.5597522719380783,0.7752948314861401,1.876828368352639,0.5110070317563842
REC5,2013-01-01,25.0,DESTROYED,U56,TOP20,0.75,M,L_H1,1.1583176067593124,1.1481089701974063,1.6254655762177506,0.8941191857483534,1.876828368352639,0.5110070317563842
REC5,2013-01-01,25.0,DESTROYED,U56,EWELIG,0.75,M,L_H1,1.095507671417482,1.0788435998180226,1.7819886352748022,0.6144358831584628,1.876828368352639,0.5110070317563842
REC5,2013-01-01,25.0,DESTROYED,U56,BAND03,1.0,W,L_H1,1.1950774396436603,1.1379605129965067,1.855118104725252,0.8033197143400528,1.876828368352639,0.5110070317563842
REC5,2013-01-01,25.0,DESTROYED,U56,BAND03,1.0,M,L_H1,1.1941819718457205,1.111152054609953,1.8115443207893953,0.883665388537969,1.876828368352639,0.5110070317563842
REC5,2013-01-01,25.0,DESTROYED,B136,TOP10,0.5,M,L_H1,1.2057461780833139,0.8438677466550051,1.5553430290490953,1.2082100031847076,1.877242007425479,0.5110244392782415
REC5,2013-01-01,50.0,DESTROYED,U56,TOP20,0.65,M,L_H1,1.0597285965677903,1.0614417885124994,1.5257909143291724,0.7926202986419357,1.876828368352639,0.5110070317563842
REC5,2013-01-01,50.0,DESTROYED,U56,TOP20,0.75,M,L_H1,1.0614807095061076,1.062650719491735,1.5278048744768162,0.7937810018894785,1.876828368352639,0.5110070317563842
REC5,2013-01-01,50.0,DESTROYED,U56,BAND03,1.0,M,L_H1,1.1525987449574115,1.0704397890526784,1.7742214871831155,0.8318541222322801,1.876828368352639,0.5110070317563842
FOUR,2009-01-01,0.0,DESTROYED,U56,TOP5,0.5,W,L_H1,1.008944724810907,1.089753458756114,0.8010713337520501,1.1971095379026828,0.8377497662257906,1.0603122235597955
FOUR,2009-01-01,0.0,DESTROYED,U56,TOP5,0.65,W,L_H1,1.0101125770072161,1.0918375098571689,0.8007139885516876,1.199394088763524,0.8377497662257906,1.0603122235597955
FOUR,2009-01-01,0.0,DESTROYED,U56,TOP10,0.65,W,L_H1,1.0228201966377306,1.0322786519324245,0.6605084937099057,1.3068343256194797,0.8377497662257906,1.0603122235597955
